Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month,Year,Month expire,Year expire
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,f8be1d22,09884a05,2024-10-10,2024-06-22,9,2018,9,2018
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,2ae33e99,b6cec3af,2024-12-21,2024-06-04,2,2019,2,2021
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,acb355d4,b4b09a9c,2024-10-02,2026-03-05,11,2024,8,2025
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,4d85af20,ed95cc53,2025-11-30,2025-05-24,3,2023,7,2024
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,599e6ee6,118d12e1,2025-11-09,2024-10-04,6,2020,5,2023
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,1c13d91f,a5e5d6ab,2025-08-27,2024-06-26,9,2022,12,2025
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,4bc4baf1,a84a4114,2025-10-15,2025-09-11,1,2019,9,2020
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,81bbad25,b1d2516f,2026-01-31,2025-05-19,3,2023,10,2025
Jeffery Wagner,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,75d666a1,e647021d,2024-04-22,2025-06-08,3,2023,1,2024
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,6f5a8acd,eb7c7be7,2024-09-18,2025-05-07,6,2021,10,2022
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,8fc6dca9,08b4777b,2024-09-07,2026-02-11,5,2021,3,2022
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,36ae6f07,02317af2,2025-12-01,2026-03-05,12,2019,9,2019
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,00721203,8be5f64c,2024-10-01,2026-03-10,6,2020,6,2020
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,dccc3bd9,a416ae0c,2024-05-28,2024-10-22,5,2019,9,2020
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,62a58704,e8beda33,2024-11-20,2024-06-21,8,2019,5,2019
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,e4c0ab55,0c26b617,2025-07-12,2024-05-31,10,2025,5,2028
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,a2b425c1,03e9c304,2025-09-09,2025-11-07,11,2017,5,2017
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,111e1979,21563ebf,2026-01-20,2025-06-16,7,2018,7,2018
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,ecace60b,df51eec4,2025-04-09,2025-07-11,4,2019,8,2020
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,4e310a6b,97c592f0,2024-12-06,2026-02-02,12,2019,3,2021
Linda Wolfe,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_c8b7436b,c8b7436b,cv_c8b7436b,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,Swedish,f75bb4a3,9f26a576,2025-09-20,2025-06-10,6,2022,11,2022
