Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month,Year,Name,Organiser,Long description,Highlighted,Is official masterdata (in #{lang}),Attachments
Azure Fundamentals,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,7001d844,7ff18a94,2024-11-02,2024-10-28,10,2025,Azure Fundamentals,Udemy,Intensive 3-day workshop.,True,int:Yes,certificate.pdf
Power BI,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,91fcbf63,1f330301,2025-02-18,2025-07-13,1,2023,Power BI,AWS,Intensive 3-day workshop.,True,int:No,
Databricks Lakehouse,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,40ef0516,4f5bd95e,2025-01-11,2025-04-03,9,2023,Databricks Lakehouse,Coursera,,False,int:No,certificate.pdf
Power BI,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,8542648a,a892ffa7,2025-07-20,2025-06-04,6,2018,Power BI,Databricks,Intensive 3-day workshop.,True,int:Yes,certificate.pdf
Azure Fundamentals,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,51c4dee5,98679a65,2024-07-25,2026-01-05,6,2022,Azure Fundamentals,AWS,Intensive 3-day workshop.,True,int:No,certificate.pdf
Azure Fundamentals,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,325df679,e1d2c396,2025-07-01,2025-11-20,10,2022,Azure Fundamentals,AWS,Intensive 3-day workshop.,False,int:No,certificate.pdf
Power BI,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,93bb392e,cb75d72d,2025-08-22,2026-03-31,10,2024,Power BI,AWS,Intensive 3-day workshop.,False,int:Yes,certificate.pdf
SQL Advanced,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,3ef87db8,da054ccf,2024-04-06,2025-06-16,9,2024,SQL Advanced,Internal,Intensive 3-day workshop.,True,int:Yes,certificate.pdf
Azure Fundamentals,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,2aa90a5c,c5693ec0,2025-04-12,2025-12-20,6,2020,Azure Fundamentals,Microsoft,Intensive 3-day workshop.,False,int:No,certificate.pdf
Azure Fundamentals,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,9debd026,8e5b63c7,2025-03-22,2025-02-28,7,2023,Azure Fundamentals,Databricks,Intensive 3-day workshop.,True,int:Yes,certificate.pdf
