Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month from,Year from,Month to,Year to,Highlighted,Attachments,Place of study,Degree,Description
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,8189dbdc,cb44568b,2026-01-31,2025-10-30,2,2021,7,2024,True,diploma.pdf,UiO,BEng Software Eng,Thesis on scalable data pipelines.
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,5671c6f4,58695f11,2024-04-10,2024-10-20,11,2008,9,2012,True,diploma.pdf,OU,BEng Software Eng,Thesis on scalable data pipelines.
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,925b78f2,c9a4b208,2023-08-14,2025-03-21,10,2020,6,2020,True,diploma.pdf,OU,BEng Software Eng,Thesis on scalable data pipelines.
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,884a3017,bbcb6e31,2022-05-17,2024-01-06,12,2008,7,2009,False,diploma.pdf,UiO,MSc Data Science,Thesis on scalable data pipelines.
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,2086ff1c,7eda7831,2024-06-12,2025-02-16,9,2018,1,2019,True,diploma.pdf,KTH,MSc Data Science,Thesis on scalable data pipelines.
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,ef8d0056,ef778f87,2025-07-24,2024-04-15,9,2023,9,2024,True,diploma.pdf,UCL,BEng Software Eng,Thesis on scalable data pipelines.
Jeffery Wagner,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,c6ce595d,11160f08,2024-04-08,2023-03-23,8,2009,7,2012,True,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,e354aaa9,5269d459,2023-11-02,2023-10-11,6,2023,9,2023,False,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,b0840913,259e8fb4,2026-03-27,2023-01-26,1,2011,4,2013,True,diploma.pdf,OU,BSc Computer Science,Thesis on scalable data pipelines.
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,c59fd917,dc8d314b,2022-11-05,2026-01-15,4,2013,8,2017,True,,OU,BSc Computer Science,Thesis on scalable data pipelines.
