Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Highlighted,Is official masterdata (in #{lang}),Language,Level
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,5638b89f,c7dfbbb7,2024-06-19,2024-09-15,True,int:No,Danish,Professional
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,b102ef60,0e25ee7a,2024-09-10,2025-06-12,True,int:No,Norwegian,Intermediate
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,d0f66635,01f96c46,2025-01-14,2024-06-26,False,int:Yes,Swedish,Native
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,2595f5ea,9c558043,2026-03-31,2024-11-01,False,int:Yes,Danish,Intermediate
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,e4e99a65,84b435b7,2025-04-25,2024-07-20,True,int:No,Norwegian,Native
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,547af1dd,ad01f9b3,2025-06-24,2025-03-04,False,int:No,Norwegian,Intermediate
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,27e73a9c,3eba84fc,2024-05-16,2024-05-24,False,int:No,Swedish,Native
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,b1e22b28,14106805,2025-09-27,2024-05-23,True,int:No,Danish,Fluent
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,c4265948,da59081c,2025-08-03,2026-02-01,False,int:Yes,Swedish,Intermediate
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,97787a0c,c30ec424,2025-08-15,2025-06-08,False,int:No,English,Professional
Jeffery Wagner,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,d1595679,c926631e,2025-06-12,2024-04-29,False,int:Yes,Polish,Professional
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,d2e905c6,dea8cfdd,2025-01-08,2026-02-21,False,int:No,Swedish,Professional
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,88316bf0,0a59d9f6,2024-07-09,2025-06-05,True,int:No,Polish,Professional
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,15fafbdf,38daaff1,2025-06-30,2024-08-01,True,int:No,English,Fluent
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,40987ecc,d9a41302,2024-08-01,2025-05-01,True,int:No,Norwegian,Intermediate
Jeffrey Lawrence,int:Jeffrey Lawrence,int:Associate Backend Engineer,jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,cv_e1de4a05,4366900343,751-307-6226x8388,2001,Software Engineering,United Kingdom,Danish,cecf538d,47061dbd,2024-04-14,2025-05-15,False,int:Yes,English,Professional
Jeffrey Lawrence,int:Jeffrey Lawrence,int:Associate Backend Engineer,jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,cv_e1de4a05,4366900343,751-307-6226x8388,2001,Software Engineering,United Kingdom,Danish,72f8f335,502cceb6,2024-08-02,2026-01-30,False,int:No,Polish,Professional
