Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Year from,Year to,Highlighted,Name,Description
Consultant C# Developer,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,33ecf7dc,06013138,2025-05-31,2025-06-09,2016,2017,False,Consultant C# Developer,Progression based on delivery impact.
Senior C# Developer,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,b2cc76a2,45a5aef6,2024-08-10,2025-02-08,2017,2018,True,Senior C# Developer,Progression based on delivery impact.
Principal C# Developer,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,07f7738b,ec32d453,2024-06-28,2024-08-24,2018,2019,True,Principal C# Developer,Progression based on delivery impact.
Consultant Data Engineer,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,0aeaa8f8,f1d3acc6,2025-05-29,2024-08-06,2016,2017,True,Consultant Data Engineer,Progression based on delivery impact.
Senior Data Engineer,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,03996be2,fb733c42,2024-09-06,2025-02-19,2017,2018,False,Senior Data Engineer,Progression based on delivery impact.
Principal Data Engineer,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,689fd490,bd931ecb,2025-04-25,2026-02-21,2018,2019,True,Principal Data Engineer,Progression based on delivery impact.
Associate C# Developer,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,05d84a91,5ee72805,2025-06-27,2025-04-16,2018,2019,True,Associate C# Developer,Progression based on delivery impact.
Consultant C# Developer,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,0961bd75,e34a8aa7,2025-08-10,2026-01-27,2019,2020,True,Consultant C# Developer,
Senior C# Developer,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,bf031c06,9ee5232d,2025-08-12,2026-01-14,2020,2021,False,Senior C# Developer,Progression based on delivery impact.
Consultant Analytics Engineer,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,b475b600,4092dec0,2024-12-09,2024-09-19,2017,2018,True,Consultant Analytics Engineer,Progression based on delivery impact.
Senior Analytics Engineer,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,61057c26,5d98d247,2025-12-28,2025-03-13,2018,2019,True,Senior Analytics Engineer,Progression based on delivery impact.
Principal Analytics Engineer,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,10328d9a,59cb9a53,2025-06-05,2025-03-16,2019,2020,True,Principal Analytics Engineer,Progression based on delivery impact.
Associate ML Engineer,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,Danish,a0e3ef9d,ed74b420,2024-10-28,2025-12-02,2020,2021,False,Associate ML Engineer,Progression based on delivery impact.
Associate Data Platform Engineer,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,950cafd4,492655bc,2025-01-02,2025-06-04,2021,2022,False,Associate Data Platform Engineer,Progression based on delivery impact.
Consultant Data Platform Engineer,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,Norwegian,0b2dcd29,d271f5c9,2024-09-09,2025-05-16,2022,2023,False,Consultant Data Platform Engineer,Progression based on delivery impact.
Consultant Azure Engineer,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,d558b689,e6b15516,2025-02-25,2024-09-15,2019,2020,False,Consultant Azure Engineer,Progression based on delivery impact.
Senior Azure Engineer,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,ca487751,18004598,2024-10-15,2024-07-28,2020,2021,False,Senior Azure Engineer,Progression based on delivery impact.
Principal Azure Engineer,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,d84478f9,be041a75,2025-03-04,2025-03-15,2021,2022,False,Principal Azure Engineer,Progression based on delivery impact.
Associate AI Engineer,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,60ed68b6,6e6c9581,2025-10-16,2026-02-21,2017,2018,False,Associate AI Engineer,Progression based on delivery impact.
Consultant AI Engineer,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,f1ee311b,8338962a,2024-08-07,2025-04-05,2018,2019,False,Consultant AI Engineer,Progression based on delivery impact.
Senior AI Engineer,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,British,771ee9ca,313e24f0,2026-03-23,2025-03-14,2019,2020,False,Senior AI Engineer,Progression based on delivery impact.
