Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month from,Year from,Month to,Year to,Customer (#{lang}),Customer (int),Customer Anonymized (#{lang}),Customer Anonymized (int),Description (#{lang}),Description (int),Long description (#{lang}),Long description (int),Industry (#{lang}),Industry (int),Project type (#{lang}),Project type (int),Percent allocated,Project extent (individual hours),Project extent (hours),Project extent total (hours),Project extent,Project extent (currency),Project extent total,Project extent total (currency),Project area,Project area (unit),Highlighted
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,1c37f7d1,dcec0b68,2024-12-08,2024-05-29,3,2015,8,2018,int:Contoso,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Energy,int:Advisory,Implementation,45,119,928,242,Hours,GBP,235010,GBP,200,sqm,False
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,b64b9dbc,941f88dd,2024-07-12,2024-09-02,8,2012,10,2012,int:Acme,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Energy,int:Advisory,Advisory,19,137,272,548,Hours,GBP,122302,GBP,400,sqm,False
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,84804c01,52d361e1,2026-03-23,2025-10-16,8,2021,10,2023,int:Contoso,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Health,int:Implementation,Advisory,32,60,628,988,Hours,NOK,181137,NOK,100,sqm,False
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,f0bd951a,a35f0d99,2025-05-18,2024-11-26,6,2015,11,2019,int:Globex,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Health,int:Implementation,Implementation,71,146,179,636,Hours,NOK,89881,EUR,700,sqm,True
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,0f7f7263,38a43346,2024-10-15,2025-07-09,8,2016,9,2017,int:Contoso,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Health,int:Advisory,Advisory,63,129,234,1491,Hours,SEK,115940,NOK,600,sqm,False
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,537a3248,07b7820a,2024-07-19,2024-08-27,6,2013,9,2017,int:Acme,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Finance,int:Advisory,Implementation,99,126,765,1822,Hours,NOK,86036,SEK,600,sqm,False
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,6650b5ad,ef2eaa7c,2026-02-25,2025-08-13,1,2024,6,2025,int:Globex,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Energy,int:Advisory,Implementation,12,113,582,1535,Budget,SEK,57981,SEK,700,sqm,False
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,7fa30166,ad1cf064,2025-06-20,2026-01-10,10,2025,11,2026,int:Globex,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Health,int:Implementation,Advisory,36,156,524,518,Hours,SEK,192550,EUR,700,sqm,True
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,f51554d6,0677b71c,2026-03-12,2024-05-17,11,2023,6,2025,int:Globex,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Finance,int:Advisory,Implementation,79,112,799,1581,Hours,NOK,116727,EUR,400,sqm,True
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,76bc1278,9845de33,2025-10-19,2024-08-20,2,2025,7,2025,int:Globex,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Energy,int:Implementation,Advisory,99,92,887,517,Budget,EUR,33707,EUR,100,sqm,False
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,587b87c3,e00432ca,2025-10-10,2025-02-13,10,2025,5,2026,int:Globex,Acme,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Energy,int:Advisory,Implementation,46,101,893,1258,Hours,EUR,17021,EUR,1000,sqm,True
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,dc6dd137,747daa51,2025-01-09,2025-09-21,6,2013,9,2017,int:Acme,Contoso,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Health,Health,int:Implementation,Implementation,98,183,941,1616,Budget,EUR,199970,NOK,700,sqm,False
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,4d0431dc,6286e8b0,2025-03-14,2024-06-16,7,2020,11,2020,int:Contoso,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Health,int:Advisory,Implementation,52,10,304,1019,Budget,NOK,134768,NOK,1000,sqm,True
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,30a9c0bd,2b42243e,2025-01-02,2026-02-13,5,2018,1,2023,int:Acme,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Finance,Finance,int:Implementation,Implementation,93,85,952,712,Hours,NOK,183149,NOK,800,sqm,True
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,Polish,131d26ae,f06aaa84,2025-04-21,2024-09-02,11,2020,10,2024,int:Acme,Globex,int:Confidential Client,Confidential Client,int:Delivered analytics platform.,Delivered analytics platform.,"int:Data lake, pipelines, BI.","Data lake, pipelines, BI.",int:Energy,Energy,int:Implementation,Implementation,31,130,515,902,Budget,NOK,156137,NOK,900,sqm,True
