Email,UPN,External User ID,CV Partner User ID,Clearance,Valid From,Valid To,Verified By,Notes
danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,None,,,PMO,Imported from legacy sheet
joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,SC,2024-09-30,,PMO,Imported from legacy sheet
jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,None,,,PMO,Imported from legacy sheet
patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,None,,,PMO,Imported from legacy sheet
robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,SC,2025-09-19,,HR,Imported from legacy sheet
jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,SC,2024-06-22,,PMO,Imported from legacy sheet
anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,SC,2024-01-25,,HR,Imported from legacy sheet
debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,None,,,PMO,Imported from legacy sheet
jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,SC,2023-12-06,,PMO,Imported from legacy sheet
lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,None,,,Security,Imported from legacy sheet
linda.wolfe@example.com,lindawolfe,ext_c8b7436b,c8b7436b,None,,,Security,Imported from legacy sheet
matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,None,,,Security,Imported from legacy sheet
susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,None,,,HR,Imported from legacy sheet
christopher.davis@example.com,christopherdavis,ext_7540b8df,7540b8df,None,,,HR,Imported from legacy sheet
melanie.munoz@example.org,melaniemunoz,ext_c3d8ab92,c3d8ab92,None,,,PMO,Imported from legacy sheet
lindsay.blair@example.com,lindsayblair,ext_1587bf20,1587bf20,None,,,Security,Imported from legacy sheet
amanda.dudley@mail.test,amandadudley,ext_c6867edd,c6867edd,None,,,Security,Imported from legacy sheet
nicholas.arnold@mail.test,nicholasarnold,ext_6ee34eb2,6ee34eb2,NPPV2,2025-04-19,,HR,Imported from legacy sheet
maria.montgomery@example.org,mariamontgomery,ext_80934911,80934911,SC,2024-02-28,,PMO,Imported from legacy sheet
michelle.ray@example.org,michelleray,ext_b902153f,b902153f,SC,2024-12-11,,HR,Imported from legacy sheet
janet.williams@example.com,janetwilliams,ext_0fa87483,0fa87483,SC,2024-03-15,,HR,Imported from legacy sheet
jeremy.roberts@mail.test,jeremyroberts,ext_cbf996ce,cbf996ce,None,,,PMO,Imported from legacy sheet
