Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner skill ID,CV Partner skill category ID,Skill name,Year experience,Proficiency (0-5),Is official masterdata (in #{lang})
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,c2aa8bd2,7e9a43c1,Databricks,3,5,int:No
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,484ac362,f1ff40f4,.NET,11,5,int:Yes
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,f55a6ab9,72fd697c,Azure,1,4,int:No
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,3361174e,7fa8b377,TypeScript,4,2,int:No
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,2a3a3b4f,2c6eab3e,Oracle,3,3,int:No
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,Norwegian,abe29495,fdc20887,Node.js,2,5,int:No
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,d11e59ce,13f89086,Airflow,6,2,int:Yes
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,b44c1e8d,7833a930,JavaScript,4,1,int:No
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,5f40b9d9,5c67dcd7,Kubernetes,3,1,int:No
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,e71ab4af,915fbf54,React,13,5,int:No
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,Swedish,d487f61e,8ac5bba4,Terraform,1,5,int:No
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,5c5c6926,72023a71,dbt,5,2,int:No
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,1cd5a020,b90427a4,Azure,11,2,int:Yes
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,British,e8aebc42,f2093868,C#,9,2,int:Yes
