Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality (#{lang}),Owner last removed or added a section,Owner last updated CV,Last updated CV,Summary Of Qualifications,Owner last updated Qualifications,Project Experiences,Unique roles,Owner last updated Project Experiences,Highlighted roles,Owner last updated Highlighted roles,Skill categories,Owner last updated Skill categories,Educations,Years of education,Owner last updated Educations,Work experiences,Years since first work experience,Owner last updated Work experiences,Certifications,Owner last updated Certifications,Courses,Owner last updated Courses,Presentations,Owner last updated Presentations,Recommendations,Owner last updated Recommendations,Positions,Owner last updated Positions,Mentoring,Owner last updated Mentoring,Publications,Owner last updated Publications,Honors and awards,Owner last updated Honors and awards,Languages,Owner last updated Languages,Owner last updated Unique roles
Danielle Johnson,int:Danielle Johnson,int:Principal C# Developer,danielle.johnson@mail.test,daniellejohnson,ext_768792e0,768792e0,cv_768792e0,958-350-6431,+1-539-500-5329x31839,1980,Software Engineering,Australia,int:Norwegian,2026-03-28,2026-02-03,2026-02-15,,2024-06-13,0,2,2024-04-05,0,2025-02-20,2,2024-04-10,2,18,2024-08-11,4,5,2026-01-11,3,2024-10-20,5,2025-09-22,1,2025-01-25,1,2025-10-16,1,2025-01-21,2,2025-07-19,4,2024-04-25,2,2025-05-29,2,2024-11-07,2025-03-06
Joshua Walker,int:Joshua Walker,int:Principal Data Engineer,joshua.walker@mail.test,joshuawalker,ext_054cf3b1,054cf3b1,cv_054cf3b1,729-504-2284x21020,001-350-324-0268,1996,Data Engineering,Spain,int:Swedish,2025-04-11,2025-10-28,2026-03-31,Principal Data Engineer in data engineering delivering data platforms & analytics.,2025-10-13,4,3,2024-11-16,2,2025-12-25,4,2026-01-22,0,15,2024-04-20,0,12,2025-01-31,4,2024-10-13,6,2025-02-01,2,2024-06-02,0,2025-06-12,2,2025-01-17,2,2025-10-11,1,2025-10-05,2,2025-03-16,4,2025-09-25,2026-04-02
Jill Rhodes,int:Jill Rhodes,int:Senior C# Developer,jill.rhodes@example.org,jillrhodes,ext_239f9f50,239f9f50,cv_239f9f50,975.289.1783x9084,7764617711,1974,Software Engineering,Spain,int:British,2025-11-22,2025-09-06,2025-08-21,,2024-07-01,5,1,2024-07-03,1,2024-06-21,4,2025-10-15,1,14,2026-01-12,4,9,2025-06-07,0,2026-01-06,3,2025-03-13,1,2025-11-27,0,2025-06-24,1,2026-01-28,0,2025-04-18,5,2026-03-04,0,2024-08-12,2,2025-08-06,2025-12-13
Patricia Miller,int:Patricia Miller,int:Principal Analytics Engineer,patricia.miller@mail.test,patriciamiller,ext_f881a3bd,f881a3bd,cv_f881a3bd,624-999-8569,896.311.8367x36576,1993,Data Engineering,Ireland,int:Polish,2025-07-29,2025-08-04,2025-10-13,Principal Analytics Engineer in data engineering delivering data platforms & analytics.,2024-07-24,3,3,2025-01-19,0,2025-03-20,1,2024-05-05,0,14,2025-04-17,2,18,2025-05-16,0,2025-08-01,5,2025-03-30,0,2024-05-22,0,2025-02-19,1,2025-03-12,2,2024-07-17,0,2026-02-04,1,2025-04-04,3,2025-04-30,2025-04-24
Robert Johnson,int:Robert Johnson,int:Associate ML Engineer,robert.johnson@mail.test,robertjohnson,ext_db0dc6a6,db0dc6a6,cv_db0dc6a6,465-245-2711x11615,001-688-651-6560,1995,AI/ML,Slovenia,int:Danish,2025-05-22,2025-04-17,2025-05-01,,2024-12-03,6,0,2024-10-23,0,2024-05-27,4,2025-09-23,3,15,2026-03-31,5,10,2024-06-19,1,2025-05-09,0,2026-03-17,0,2024-06-24,2,2025-03-31,2,2026-02-16,2,2025-05-05,1,2024-05-09,1,2025-01-04,4,2025-08-07,2025-02-04
Jeffery Wagner,int:Jeffery Wagner,int:Consultant Data Platform Engineer,jeffery.wagner@example.org,jefferywagner,ext_024251aa,024251aa,cv_024251aa,(319)683-2731x585,001-636-289-9809,2000,Data Engineering,United Kingdom,int:Norwegian,2025-07-11,2025-06-15,2025-07-19,Consultant Data Platform Engineer in data engineering delivering data platforms & analytics.,2026-03-02,4,3,2025-11-24,3,2026-01-04,5,2025-05-30,0,20,2024-05-14,2,11,2024-09-19,3,2024-12-11,3,2025-10-13,0,2025-01-02,2,2025-12-06,3,2024-11-26,1,2024-05-25,4,2024-09-27,0,2025-07-31,2,2025-07-28,2024-11-10
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_545f01d6,545f01d6,cv_545f01d6,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,int:Polish,2025-04-25,2026-01-30,2025-04-28,Principal Azure Engineer in cloud engineering delivering data platforms & analytics.,2025-11-15,1,1,2024-10-03,0,2024-11-16,1,2026-01-01,3,17,2024-04-25,5,20,2025-04-28,0,2025-08-17,1,2024-08-22,2,2024-07-27,1,2026-01-27,2,2024-06-13,0,2025-04-17,5,2025-03-13,1,2025-03-09,4,2024-06-03,2024-06-24
Debra Gardner,int:Debra Gardner,int:Senior AI Engineer,debra.gardner@mail.test,debragardner,ext_4ff6afec,4ff6afec,cv_4ff6afec,859-991-0229x0147,+1-976-643-8156x149,1996,AI/ML,Australia,int:British,2026-02-03,2025-06-14,2025-09-27,Senior AI Engineer in ai/ml delivering data platforms & analytics.,2025-11-24,5,4,2025-05-18,3,2024-08-21,2,2026-04-02,1,18,2025-05-20,2,17,2026-01-30,0,2024-08-07,2,2024-10-02,0,2025-09-21,0,2025-03-02,0,2025-01-25,1,2025-05-11,5,2025-03-26,2,2024-05-08,2,2025-11-25,2025-03-10
Jeffrey Lawrence,int:Jeffrey Lawrence,int:Associate Backend Engineer,jeffrey.lawrence@example.org,jeffreylawrence,ext_e1de4a05,e1de4a05,cv_e1de4a05,4366900343,751-307-6226x8388,2001,Software Engineering,United Kingdom,int:Danish,2026-01-18,2025-05-31,2025-11-09,Associate Backend Engineer in software engineering delivering data platforms & analytics.,2025-11-05,4,4,2024-05-22,1,2026-02-27,1,2024-07-29,3,12,2025-05-11,0,9,2025-05-22,4,2024-11-05,6,2024-04-28,3,2025-11-28,1,2025-06-27,1,2024-04-10,1,2024-08-24,1,2024-11-30,1,2024-06-26,4,2025-08-26,2024-04-14
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_9bfe45cd,9bfe45cd,cv_9bfe45cd,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,int:British,2025-11-01,2025-05-01,2026-01-12,Associate Data Scientist in ai/ml delivering data platforms & analytics.,2026-03-12,3,2,2024-09-19,3,2025-04-23,1,2025-01-26,2,16,2024-05-09,1,3,2024-12-05,1,2025-04-12,6,2025-02-27,1,2025-02-27,2,2026-01-20,0,2024-10-10,0,2025-06-18,3,2025-06-18,2,2024-04-20,4,2025-09-16,2025-02-26
Linda Wolfe,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_c8b7436b,c8b7436b,cv_c8b7436b,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,int:Swedish,2025-08-20,2025-04-12,2025-07-30,Consultant Data Engineer in data engineering delivering data platforms & analytics.,2025-06-09,5,4,2025-11-06,3,2025-08-23,1,2025-09-15,1,17,2024-06-06,2,15,2026-03-25,4,2025-03-29,6,2024-08-22,0,2025-12-20,2,2024-05-09,2,2025-11-03,1,2025-03-14,5,2025-01-21,0,2024-05-08,2,2025-10-13,2025-09-01
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_018fb683,018fb683,cv_018fb683,(777)499-7995,917.974.4905x814,1975,AI/ML,India,int:Swedish,2025-11-29,2026-03-17,2026-02-02,Principal ML Engineer in ai/ml delivering data platforms & analytics.,2025-07-31,0,0,2025-02-21,2,2025-05-29,4,2024-04-29,1,11,2024-08-01,0,2,2025-10-09,0,2024-06-04,4,2025-03-15,2,2024-04-25,2,2024-05-17,3,2024-05-29,0,2026-01-02,5,2024-12-15,2,2024-06-07,4,2025-03-08,2024-11-19
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_2a2c1ef7,2a2c1ef7,cv_2a2c1ef7,8059411998,001-480-279-3597,1977,Software Engineering,Australia,int:Danish,2025-11-14,2025-04-13,2026-02-14,,2024-08-04,2,3,2025-09-30,2,2024-11-24,1,2024-06-12,0,19,2024-04-14,0,12,2025-01-14,0,2025-06-02,0,2024-08-26,3,2025-11-26,2,2025-12-23,4,2025-05-05,0,2026-01-28,0,2024-04-03,2,2024-09-30,4,2025-09-26,2025-03-06
Christopher Davis,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_7540b8df,7540b8df,cv_7540b8df,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,int:Swedish,2026-04-01,2025-06-23,2025-08-18,Principal Solution Architect in architecture delivering data platforms & analytics.,2025-05-17,3,0,2025-11-29,3,2025-11-23,5,2024-08-23,3,15,2025-09-04,0,9,2024-06-04,4,2025-10-20,6,2026-01-04,0,2024-09-05,0,2025-07-15,0,2026-02-27,0,2026-01-07,4,2025-11-27,2,2024-11-01,2,2025-06-02,2026-02-22
Melanie Munoz,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_c3d8ab92,c3d8ab92,cv_c3d8ab92,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,int:Danish,2025-04-13,2025-10-25,2025-07-10,Senior Cloud Architect in architecture delivering data platforms & analytics.,2025-04-08,2,4,2024-07-22,1,2024-10-28,4,2025-09-01,0,20,2024-04-29,1,6,2025-12-23,2,2024-05-25,0,2026-02-17,2,2025-08-04,2,2026-02-25,4,2025-09-23,1,2025-11-09,1,2025-06-01,2,2025-08-26,4,2025-11-17,2024-09-29
Lindsay Blair,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_1587bf20,1587bf20,cv_1587bf20,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,int:Norwegian,2025-09-11,2025-08-13,2026-02-20,,2025-07-17,4,4,2024-05-11,1,2024-04-22,5,2025-11-08,2,18,2024-10-02,2,13,2025-09-07,1,2026-01-21,5,2024-06-28,3,2025-07-02,0,2024-06-24,4,2024-04-20,1,2024-06-11,2,2025-09-18,1,2025-03-18,2,2024-09-03,2025-01-23
